District,City,Latitude,Longitude,Elevation,Slope,Water_Occurrence_Percent,Population_Density
Aizawl,Darlawn,24.0,93.125,1158.0,14.10144262,0.0,449.41730090000004
Arunachal Pradesh,Margherita,27.0,96.25,338.0,33.97569452,0.0,324.9641598
Baksa,Mushalpur,26.5,91.25,46.0,1.390525377,0.0,680.295446
Bishnupur,Moirang,24.5,93.75,778.0,1.8543341690000001,0.0,388.9438608
Bumthang,Jakar,28.0,90.625,5178.0,2.130776922,0.0,511.46173880000003
Cachar,Lakhipur,24.5,93.125,495.0,33.85492634,0.0,438.6855122
Chhukha,Daphu,27.0,89.375,2095.0,5.881075529,0.0,529.720802
Chirang,Bongaigaon,26.5,90.625,55.0,3.615646683,3.0,666.2383901
Chirang,Tsirang,27.0,90.0,2073.0,30.779022260000005,0.0,494.8594977000001
Churachandpur,Churachandpur,24.0,93.75,951.0,23.6908634,0.0,411.3530818
Darrang,Mangaldai,26.5,91.875,64.0,0.9274099369999999,0.0,513.2306579
Dhaka,Gafargaon,24.5,90.625,14.0,1.377826843,0.0,516.3333924
Dhaka,Nagarpur,24.0,90.0,10.0,2.959277052,0.0,511.8939313
Dhaka,Narsingdi,24.0,90.625,10.0,4.118305243,0.0,500.237772
Dhaka,Netrakona,25.0,90.625,14.0,2.245937914,9.0,541.023175
Dhaka,Sakhipur,24.5,90.0,31.0,2.238466933,0.0,533.5696245
Dhaka,Sherpur,25.0,90.0,18.0,0.927409937,0.0,568.9474725
Dhalai,Ambasa,24.0,91.875,105.0,5.388686904,0.0,493.64088639999994
Dhemaji,Dhemaji,27.5,94.375,103.0,0.927409937,0.0,300.61351499999995
Dhuburi,Dhuburi,26.0,90.0,37.0,3.460128429,27.0,885.3850676
Dibrugarh,Dibrugarh,27.5,95.0,115.0,1.045520478,0.0,304.6765257
Dima Hasao District,Mahur,25.0,93.125,273.0,24.61800993,0.0,327.4890884
Dima Hasao District,Maibong,25.5,93.125,158.0,4.500283366,0.0,150.1992987
East Khasi Hills,Shillong,25.5,91.875,1816.0,3.4549896609999995,0.0,443.5373603
East Siang,Pasighat,28.0,95.625,151.0,5.552739341,0.0,328.172958
Gasa,Gasa,28.0,90.0,3996.0,30.30639478,0.0,513.0941557
Goalpara,Goalpara,26.0,90.625,58.0,3.228316007,0.0,554.1086509
Golaghat,Numaligarh,26.5,93.75,111.0,3.1060897989999994,0.0,318.230555
Hailakandi,Badarpur,25.0,92.5,26.0,4.189767125,0.0,480.2789569
Hailakandi,Lala,24.5,92.5,67.0,5.082944257,0.0,515.6490579
Imphal East,Imphal,25.0,93.75,1389.0,40.20041017,0.0,346.8261096
Jalpaiguri,Falakata,26.5,89.375,61.0,0.927409937,0.0,566.0276214
Jorhat,Mariani,26.5,94.375,310.0,22.96585829,0.0,348.1394654
Kachin,Bhamo,24.0,96.25,162.0,3.704791834,0.0,376.4817094
Kachin,Bhamo,24.5,96.25,247.0,5.537518734,0.0,367.2718403
Kachin,Myitkyina,25.0,96.25,292.0,2.245937914,0.0,356.7352138
Kachin,Myitkyina,25.5,96.25,454.0,14.55406443,0.0,344.929585
Kamrup,Palasbari,26.0,91.25,45.0,2.121724521,0.0,566.5375383
Karbi Anglong,Bokajan,26.0,93.75,159.0,2.121724521,0.0,322.55799570000005
Kohima,Kohima,25.5,93.75,1138.0,23.86620364,0.0,320.7954955000001
Kokrajhar,Goshaingaon,26.5,90.0,54.0,1.036265725,0.0,353.6565028
Lhuntshi,Lhuentse,27.5,91.25,2836.0,15.35537511,0.0,525.2575077
Lohit District,Tezu,27.5,96.25,261.0,8.306405605,0.0,332.712808
Lohit District,Tezu,28.0,96.25,747.0,30.16808105,0.0,333.6863501
Lower Subansiri,Ziro,27.5,93.75,1170.0,5.644002829,0.0,378.8323744
Lower Subansiri,Ziro,28.0,93.75,566.0,36.51709514,0.0,360.1613625
Mamit,Mamit,24.0,92.5,710.0,8.858060458,0.0,490.1337217
Manipur,Phek,25.0,95.0,123.0,0.0,96.0,356.9621549
Manipur,Phek,25.0,95.625,263.0,6.185746724,0.0,355.3529265
Manipur,Phek,25.5,94.375,1686.0,28.588868470000005,0.0,342.7992952
Manipur,Phek,25.5,95.0,1028.0,36.69056929,0.0,340.6939961
Meghalaya,Mankachar,25.5,90.0,90.0,14.09969849,0.0,641.3670151
Mon,Mon,26.5,95.0,1363.0,17.77529035,0.0,260.6589194
Nagaon,Dhing,26.5,92.5,66.0,4.740998679,0.0,367.8456011
Nagaon,Hojai,25.5,92.5,1059.0,15.38648349,0.0,335.20683
Nagaon,Lumding Railway Colony,26.0,93.125,116.0,4.965499387,0.0,150.1708507
Nagaon,Raha,26.0,92.5,145.0,17.11287737,0.0,319.8429983
Papum Pare,Itanagar,27.5,93.125,1588.0,25.37942309,0.0,391.53036119999996
Papum Pare,Naharlagun,27.0,93.75,98.0,2.277949184,0.0,386.3612483
Paro,Paro,27.5,89.375,3572.0,14.07258076,0.0,521.487739
Pemagatsel,Pemagatshel,27.0,91.25,1597.0,8.352400023,0.0,580.8608837
Rajshahi,Bogra,25.0,89.375,22.0,1.023264216,0.0,566.5422741
Rajshahi,Pabna,24.0,89.375,13.0,2.029681014,23.0,516.8330104
Rajshahi,Sirajganj,24.5,89.375,14.0,1.01915669,0.0,537.1392177
Rangpur Division,Gaibandha,25.5,89.375,26.0,0.9274099369999999,1.0,608.2174766
Rangpur Division,Lalmanirhat,26.0,89.375,40.0,1.387214116,0.0,630.6165596
Ri-Bhoi,Nongpoh,26.0,91.875,335.0,11.18729467,0.0,417.30903190000004
Sagain,Mawlaik,24.0,94.375,313.0,13.78733297,0.0,392.9469879
Sagain,Mawlaik,24.0,95.0,347.0,5.530985127,0.0,383.8326429
Sagain,Mawlaik,24.0,95.625,918.0,18.02027076,0.0,378.8137773
Sagain,Mawlaik,24.5,95.625,254.0,2.780288516,0.0,368.0582633
Shemgang,Shemgang,27.0,90.625,1630.0,27.03129584,0.0,571.529636
Sibsagar,Amguri,27.0,94.375,85.0,3.119755432,47.0,353.292211
Sibsagar,Sonari,27.0,95.0,114.0,1.854334169,0.0,61.18171385
Sontipur,Rangapara,27.0,92.5,783.0,4.246396165,0.0,415.6656905
Sontipur,Rangapara,27.0,93.125,379.0,26.97429045,0.0,387.2684822
Sontipur,Tezpur,26.5,93.125,357.0,29.73943278,0.0,423.7755648
Sylhet,Baniachang,24.5,91.25,8.0,2.754061965,35.0,497.5796571
Sylhet,Chhatak,25.0,91.25,7.0,1.023264216,57.0,504.52834090000005
Sylhet,Maulavi Bazar,24.5,91.875,16.0,2.037668866,0.0,520.2101742
Sylhet,Sylhet,25.0,91.875,12.0,0.0,1.0,491.7526579
Tawang,Tawang,27.5,91.875,3696.0,35.20221739,0.0,477.5735799
Thoubal,Wangjing,24.5,94.375,316.0,13.74060401,0.0,376.9542486
Thoubal,Wangjing,24.5,95.0,186.0,4.79645843,0.0,371.3586956
Thoubal,Yairipok,25.0,94.375,896.0,29.92813998,0.0,358.1092767
Tibet Autonomous Region,Bianba,28.0,91.25,4890.0,30.85932806,0.0,495.4318183
Tibet Autonomous Region,Douyu,28.0,93.125,1484.0,15.4019647,0.0,392.1062653
Tibet Autonomous Region,Gala,28.0,89.375,4574.0,3.85000529,0.0,512.1431131
Tibet Autonomous Region,Xoixar,28.0,91.875,4980.0,8.34830072,0.0,462.4653679
Tibet Autonomous Region,Xoixar,28.0,92.5,5641.0,27.31138262,0.0,424.85456790000006
Tinsukia,Dum Duma,27.5,95.625,148.0,6.36190334,0.0,348.0507931
Tirap,Khonsa,26.0,96.25,1073.0,15.88890489,0.0,332.7262444
Tirap,Khonsa,26.5,95.625,508.0,25.27460043,0.0,297.176187
Tirap,Khonsa,26.5,96.25,240.0,5.545809412,0.0,323.8399696
Tirap,Khonsa,27.0,95.625,1976.0,18.03617646,0.0,302.9998845
Tongsa,Trongsa,27.5,90.625,3069.0,7.172834959000001,0.0,536.441065
Tuensang District,Tuensang,25.5,95.625,212.0,6.54464198,0.0,339.9408204
Tuensang District,Tuensang,26.0,95.0,1159.0,16.14846297,0.0,317.9300536
Tuensang District,Tuensang,26.0,95.625,243.0,21.36966497,0.0,319.9885263
Udalguri,Udalguri,27.0,91.875,1155.0,47.25759815,0.0,502.6156764
Wangdi Phodrang,Wangdue Phodrang,27.5,90.0,1629.0,25.94370205,0.0,522.1263104
West Garo Hills,Tura,25.5,90.625,263.0,7.668804433,0.0,571.8252398
West Kameng,Bomdila,27.5,92.5,2260.0,20.43461613,0.0,425.04286880000006
West Khasi Hills,Nongstoin,25.5,91.25,1294.0,11.03859333,0.0,522.8958402
West Siang,Along,28.0,95.0,778.0,9.143156283,0.0,291.5060115
West Siang,Basar,28.0,94.375,1673.0,32.25288219,0.0,303.5845235
West Tripura,Agartala,24.0,91.25,6.0,0.927409937,22.0,489.5787028
Zunheboto,Zunheboto,26.0,94.375,551.0,14.30773786,0.0,333.6709927
